# Example data, Glycerol, radius 0.5 mm, Rise [cm], Time [s], Contact angle (CA) [degrees]
rise,time,CA
0,0,
0.0681,1.0204,84.9202
0.1363,2.1393,80.3605
0.2044,3.3636,76.2192
0.2725,4.7016,72.4209
0.3407,6.1619,68.9082
0.4088,7.7547,65.6358
0.4769,9.4913,62.5677
0.5451,11.3843,59.6744
0.6132,13.4483,56.9315
0.6813,15.7002,54.3184
0.7496,18.1639,51.8128
0.8176,20.8473,49.4131
0.8858,23.7913,47.0921
0.9539,27.0219,44.842
1.022,30.5763,42.6517
1.0902,34.499,40.5106
1.1583,38.8449,38.4087
1.2264,43.6815,36.336
1.2946,49.0946,34.2824
1.3627,55.194,32.2371
1.4308,62.1247,30.1884
1.499,70.0828,28.1228
1.5671,79.3435,26.024
1.6352,90.3095,23.8715
1.7034,103.6056,21.6376
1.7715,120.278,19.2825
1.901,170.1817,14.2079
1.9759,229.5884,10.5158
2.0236,327.913,7.4147
2.0372,418.4691,6.2787
2.042,517.8729,5.8325
2.0434,617.4132,5.692
2.0438,708.2661,5.6513
2.044,807.8401,5.6369
2.044,956.031,5.6318
